pr_number,title,author,merged_at,commits,comments,copilot_comments,copilot_commits
1125,Add shape inference for Reshape,Copilot,2026-05-27T08:20:34Z,3,3,1,3
1127,Add shape-inference tests for the ai.onnx.preview FlexAttention op,Copilot,2026-05-27T07:56:56Z,2,1,0,2
1126,Add shape inference for QuantizeLinear,Copilot,2026-05-27T07:23:08Z,3,1,0,3
1124,Add EXT_ENFORCE_INVALID / EXT_THROW_INVALID macros,Copilot,2026-05-27T07:12:36Z,4,1,0,4
1122,Add shape inference for RoiAlign in onnx_optim,Copilot,2026-05-27T06:36:15Z,2,1,0,2
1121,Add shape inference for Concat in onnx_optim,Copilot,2026-05-27T06:21:20Z,2,1,0,2
1120,Align C++ API documentation with existing headers,Copilot,2026-05-27T06:21:00Z,2,1,0,2
1119,Add shape inference for If,Copilot,2026-05-26T21:51:04Z,6,11,5,5
1118,Add shape inference for Optional in onnx_optim,Copilot,2026-05-26T21:35:05Z,4,5,2,3
1116,Add onnx_optim shape inference for ai.onnx.ml::LabelEncoder,Copilot,2026-05-26T21:11:51Z,4,5,2,3
1117,Add shape inference for ReduceSum,Copilot,2026-05-26T20:47:21Z,4,5,2,3
1115,Add shape inference for StringConcat,Copilot,2026-05-26T20:46:59Z,4,5,2,3
1114,Add shape inference for SequenceConstruct,Copilot,2026-05-26T20:28:18Z,5,8,3,4
1113,move functions,xadupre,2026-05-26T18:29:25Z,6,9,4,3
1112,Extract common ComputeShape* preamble into shared helper,Copilot,2026-05-26T10:31:16Z,2,1,0,2
1111,Move onnx_light::expressions into onnx_light::onnx_optim::expressions,Copilot,2026-05-26T10:29:22Z,3,3,1,3
1093,Add shape inference for Constant with ValueAsShape propagation,Copilot,2026-05-26T09:55:19Z,5,13,6,5
1096,Enable file-level parallel compilation on Windows (MSVC /MP),Copilot,2026-05-26T09:30:27Z,2,1,0,2
1090,"Add shape inference, kernels, and ONNX test cases for Or, Xor, Sub, Mul, Div",Copilot,2026-05-26T09:07:33Z,2,1,0,2
1075,"Add missing AveragePool backend test cases from ONNX reference suite, fix ceil_mode last-window handling, and add AveragePool shape inference",Copilot,2026-05-26T08:56:17Z,7,11,5,6
1088,Replace Adam::Attributes struct with explicit kernel parameters,Copilot,2026-05-26T08:54:35Z,2,1,0,2
1082,Add upstream ONNX Adam backend test cases,Copilot,2026-05-26T07:59:45Z,6,9,4,6
1085,Add C++ example running every backend test through onnxruntime,Copilot,2026-05-26T07:59:33Z,3,3,1,3
1080,Include attribute differences in operator doc diff sections,Copilot,2026-05-26T07:58:55Z,8,9,4,6
1087,doc2,xadupre,2026-05-26T07:58:37Z,2,1,0,0
1083,Make auto-generated operator domain tables sortable and searchable,Copilot,2026-05-26T06:32:03Z,2,1,0,2
1073,Add upstream ONNX `And` backend test cases,Copilot,2026-05-26T06:00:20Z,4,5,2,4
1069,Add ComputeShapeAcos/Acosh and Acos/Acosh ONNX backend test cases,Copilot,2026-05-26T05:59:57Z,4,5,2,4
1077,Make Per-operator comparison table searchable and sortable,Copilot,2026-05-26T05:54:54Z,3,3,1,3
1065,doc,xadupre,2026-05-25T21:12:37Z,1,1,0,0
1061,Expose onnx_light.onnx_op and route automated docs through LightOpSchema,Copilot,2026-05-25T20:40:06Z,4,3,1,4
1064,Remove *.cc files from the API documentation,Copilot,2026-05-25T20:27:36Z,2,1,0,2
1052,Populate empty Sphinx API pages for onnx_light.onnx sub-modules,Copilot,2026-05-25T20:27:02Z,3,3,1,3
1058,Document light_op_schema.h with a Doxygen @file block,Copilot,2026-05-25T20:18:53Z,3,3,1,3
1063,Skip Windows/macOS CI jobs for docs-only changes,Copilot,2026-05-25T20:16:14Z,2,1,0,2
1057,docs: link examples/core sub-gallery directly from the Examples page,Copilot,2026-05-25T20:15:11Z,2,1,0,2
1059,Document checker.h,Copilot,2026-05-25T19:55:39Z,2,1,0,2
1050,docs: split protos API page into one page per proto,Copilot,2026-05-25T19:42:41Z,2,1,0,2
1048,Use sphinx-design tabs for Python/C++ in install and load/save how-to pages,Copilot,2026-05-25T19:41:56Z,2,1,0,2
1046,Refactor docs/api/python/expressions.rst,Copilot,2026-05-25T19:39:53Z,2,1,0,2
1044,docs: refresh backend_tests design page and document C++ backend test runner,Copilot,2026-05-25T19:39:37Z,2,1,0,2
1042,Add documentation comparing onnx OpSchema and onnx_light LightOpSchema,Copilot,2026-05-25T19:32:49Z,2,1,0,2
1040,Bump core_tests Windows timeout to 20 minutes,Copilot,2026-05-25T19:32:30Z,2,1,0,2
1038,Add C++ test exercising checker and shape inference on every backend test case,Copilot,2026-05-25T16:33:20Z,2,1,0,2
1036,Display backend test examples on operator documentation pages,Copilot,2026-05-25T16:33:06Z,3,9,4,2
1033,Add ComputeShapes dispatcher for a list of NodeProto in onnx_optim,Copilot,2026-05-25T15:47:20Z,7,14,6,7
1035,Fix Sphinx warning about adjacent transitions in backend_tests.rst,Copilot,2026-05-25T15:19:33Z,2,1,0,2
1031,Add backend test running the checker on onnx_backend_test models,Copilot,2026-05-25T15:01:01Z,8,9,4,6
1027,Add helper to retrieve backend test examples for a specific op and opset,Copilot,2026-05-25T14:33:55Z,5,7,3,5
1029,docs(schema_diff): switch usage example to runpython and add LightOpSchema example,Copilot,2026-05-25T13:25:47Z,2,1,0,2
1025,Implement ComputeShapeAdd and ComputeShapeAnd in onnx_optim,Copilot,2026-05-25T13:06:50Z,4,1,0,2
1026,Use relative imports in onnx_light/doc.py,Copilot,2026-05-25T13:06:36Z,2,1,0,2
1018,Move schema_diff.py to compatibility sub-package,Copilot,2026-05-25T12:46:32Z,4,5,2,4
1023,Bump windows-latest build timeout to 12 minutes,Copilot,2026-05-25T12:45:58Z,2,1,0,2
1015,Add backend test-case coverage report,Copilot,2026-05-25T12:23:23Z,5,7,3,5
1020,Rename onnx_light/cpp to onnx_light/onnx_helpers,Copilot,2026-05-25T12:15:46Z,2,1,0,2
1010,Add ComputeShapeAbs shape-inference function under onnx_optim/shapes/math,Copilot,2026-05-25T11:55:02Z,8,17,8,8
1016,Align bench_load_file with onnx_light.onnx.load() stream choice,Copilot,2026-05-25T11:54:10Z,2,1,0,2
1008,Add Adam kernel and backend test cases under new training folder,Copilot,2026-05-25T11:08:42Z,3,3,1,3
1013,Fix Loop operator doc indentation: render numbered list items as bullets,Copilot,2026-05-25T10:24:34Z,2,1,0,2
1012,Fix unexpected indentation warnings in QuantizeLinear (and similar) auto-generated operator docs,Copilot,2026-05-25T10:24:25Z,2,1,0,2
1011,Clarify SplitToSequence doc wording for default 'split' behavior,Copilot,2026-05-25T10:23:45Z,2,1,0,2
1007,Trigger docs workflow on changes to onnx_light/doc.py,Copilot,2026-05-25T09:43:35Z,2,1,0,2
998,Fix TreeEnsembleClassifier generated doc by escaping `class_` as RST literal,Copilot,2026-05-25T09:24:11Z,3,3,1,3
1000,Escape literal `*` in operator doc strings via regex in doc.py,Copilot,2026-05-25T09:15:07Z,3,3,1,3
1005,ci(build): gate wheel builds on successful ci-1-core run,Copilot,2026-05-25T09:13:04Z,2,1,0,2
996,"Fix Sphinx ""inline literal"" warning in generated TreeEnsemble operator page",Copilot,2026-05-25T09:12:22Z,2,1,0,2
990,Add FlexAttention reference kernel and backend test cases under preview/,Copilot,2026-05-25T09:01:13Z,8,7,3,4
994,docs: add design page explaining protobuf format applied to ONNX,Copilot,2026-05-25T08:52:44Z,4,5,2,4
992,Add RoiAlign kernel and backend test cases under object_detection,Copilot,2026-05-25T08:18:51Z,4,5,2,3
991,Add AveragePool kernel and backend test cases under new nn folder,Copilot,2026-05-25T06:39:59Z,2,1,0,2
989,move,xadupre,2026-05-24T22:56:18Z,1,1,0,0
988,Split backend test_test_case.cc and test_kernels.cc by onnx_backend_test subfolder,Copilot,2026-05-24T22:36:41Z,2,1,0,2
986,Add SequenceConstruct kernel and backend test cases under new sequence folder,Copilot,2026-05-24T22:06:31Z,3,3,1,2
984,Add StringConcat kernel and backend test cases under new text folder,Copilot,2026-05-24T21:49:31Z,6,9,4,6
985,Add ReduceSum kernel and backend test cases under new reduction folder,Copilot,2026-05-24T18:55:49Z,2,1,0,2
983,Add Optional kernel and backend test cases under new optional folder,Copilot,2026-05-24T17:45:27Z,4,5,2,3
980,Add LabelEncoder kernel and backend test cases under traditionalml/,Copilot,2026-05-24T17:31:10Z,6,9,4,4
981,Add QuantizeLinear kernel and backend test cases under new quantization folder,Copilot,2026-05-24T15:18:40Z,2,1,0,2
982,minor improvments,xadupre,2026-05-24T14:59:06Z,1,1,0,0
979,Add Constant kernel and backend test cases under new generator folder,Copilot,2026-05-24T14:30:46Z,2,1,0,2
977,docs: align C++ API pages for onnx_backend_test cases/kernels,Copilot,2026-05-24T12:45:44Z,2,1,0,2
978,Add CanRunInPlace capability query to backend test kernels,Copilot,2026-05-24T12:35:03Z,2,1,0,2
976,Add per-subfolder CollectTestCases and delegate from the main collector,Copilot,2026-05-24T12:04:42Z,2,1,0,2
975,Switch backend test kernels from Tensor* to Tensor& output,Copilot,2026-05-24T12:04:25Z,2,1,0,2
974,Increase default iteration count for C++ benchmarks in plot_onnx_time,Copilot,2026-05-24T11:49:12Z,2,1,0,2
972,docs: stop horizontal scrolling on load/save howto table,Copilot,2026-05-24T11:48:36Z,2,1,0,2
968,Fix CI Job Durations doc page: fall back to cache and show last-fetch timestamp,Copilot,2026-05-24T11:48:03Z,2,1,0,2
950,Add Concat kernel and backend test cases under tensor subfolder,Copilot,2026-05-24T11:22:11Z,5,7,3,3
952,Add If kernel and backend test cases under new controlflow/ subfolder,Copilot,2026-05-24T11:05:38Z,4,5,2,3
966,Add Adam light op schema in ai.onnx.preview.training,Copilot,2026-05-24T11:04:58Z,2,1,0,2
946,Add C++ test coverage for checker.cc validation branches,Copilot,2026-05-24T11:02:07Z,2,1,0,2
948,Add tests covering parser.py error branches,Copilot,2026-05-24T10:36:32Z,3,4,2,3
943,Add preallocated-output overloads to backend test kernels,Copilot,2026-05-24T10:33:49Z,4,7,3,4
937,Move onnx_expressions/__init__.py into onnx_optim/expressions.py,Copilot,2026-05-24T10:00:29Z,2,3,1,2
935,Align C++ API documentation with the current state,Copilot,2026-05-24T10:00:06Z,2,1,0,2
938,Add tests: re-saving a TensorProto with loaded external data does not duplicate the buffer; mixed pre-loaded external + inline raises,Copilot,2026-05-24T09:58:52Z,3,3,1,3
940,Add And/Or/Xor backend test kernels and cases under new logical subfolder,Copilot,2026-05-24T09:38:27Z,2,1,0,2
932,Add TensorProto.load_external_data method exposed to Python,Copilot,2026-05-24T08:52:51Z,2,1,0,2
930,Add C++ test verifying external data is preserved across edit/save cycles,Copilot,2026-05-24T08:52:36Z,2,1,0,2
928,Run shape inference on cc_onnx_backend_test cases,Copilot,2026-05-24T08:47:34Z,3,3,1,3
926,Refactor backend test kernels into classes constructed with a KernelContext,Copilot,2026-05-24T08:43:02Z,3,3,1,3
923,Extend helper.make_tensor to accept external_data,Copilot,2026-05-24T08:31:46Z,3,3,1,3
925,Exclude benchmarks/ from Codecov report,Copilot,2026-05-24T08:31:28Z,2,1,0,2
921,Add templated From<T>/As<T> to onnx_backend_test::Tensor,Copilot,2026-05-24T08:06:12Z,2,1,0,2
919,clean,xadupre,2026-05-24T07:57:17Z,1,1,0,0
917,Remove Python node test case modules in favor of C++ backend test cases,Copilot,2026-05-24T07:56:59Z,2,1,0,2
916,Use a custom OpsetId in onnx_backend_test instead of OperatorSetIdProto,Copilot,2026-05-24T07:56:42Z,2,1,0,2
912,"Rename onnx_backend_test/tensor.{h,cc} to simple_tensor.{h,cc}",Copilot,2026-05-23T18:35:13Z,3,5,2,2
914,Aggregate math case and kernel declarations behind single headers,Copilot,2026-05-23T17:59:32Z,2,1,0,2
906,propose for the backend,xadupre,2026-05-23T17:09:50Z,3,5,2,2
908,Make --with-upstream-onnx actually enable BENCH_HAS_UPSTREAM_ONNX,Copilot,2026-05-23T14:31:39Z,3,3,1,3
910,Add per-version diff section to generated operator pages,Copilot,2026-05-23T14:02:30Z,2,1,0,2
900,"Move random.{cc,h} from onnx_backend to onnx_backend_test",Copilot,2026-05-23T10:37:09Z,3,3,1,2
905,Support --with-upstream-onnx in setup.py build_ext,Copilot,2026-05-23T10:24:15Z,2,1,0,2
902,Add C++ backend test case for BlackmanWindow,Copilot,2026-05-23T10:11:56Z,2,1,0,2
892,Add light op schemas for MatMul and Gemm,Copilot,2026-05-23T10:11:19Z,3,3,1,3
890,"Move expressions.{cc,h} into onnx_optim",Copilot,2026-05-23T10:11:03Z,4,3,1,3
898,Add LightOpSchema for remaining ai.onnx text ops,Copilot,2026-05-23T09:27:21Z,2,1,0,2
896,Add LightOpSchema entries for sequence operators,Copilot,2026-05-23T09:27:07Z,2,1,0,2
894,Add LightOpSchema history for all reduce ops,Copilot,2026-05-23T09:26:53Z,2,1,0,2
879,Add onnx_light.compatibility sub-package with onnx vs onnx_light API comparator and gallery example,Copilot,2026-05-23T09:26:34Z,5,9,4,5
888,"Add light op schemas for TreeEnsemble, TreeEnsembleClassifier and TreeEnsembleRegressor",Copilot,2026-05-23T08:59:55Z,2,1,0,2
886,"Add light op schemas for RNN, GRU, and LSTM",Copilot,2026-05-23T08:59:30Z,2,0,0,2
883,"Add LightOpSchema for Asin, Acos, Asinh, Acosh",Copilot,2026-05-23T08:41:25Z,2,1,0,2
881,"Add LightOpSchema for Concat (v1, v4, v11, v13)",Copilot,2026-05-23T08:41:10Z,2,1,0,2
884,remove parallel=True,xadupre,2026-05-23T08:39:24Z,1,1,0,0
875,Generate operator doc pages from LightOpSchema,Copilot,2026-05-23T08:33:24Z,2,1,0,2
872,Add LightOpSchema for Gradient operator,Copilot,2026-05-23T08:33:08Z,4,3,1,3
877,Support LightOpSchema in compare_schemas,Copilot,2026-05-23T08:19:52Z,2,1,0,2
866,Document and simplify enabling BENCH_HAS_UPSTREAM_ONNX for bench_load_file,Copilot,2026-05-23T08:01:23Z,5,5,2,5
870,Add mmap vs ifstream comparison rows to plot_onnx_time.py,Copilot,2026-05-23T07:23:44Z,2,1,0,2
841,Convert backend test node case infrastructure to a standalone C++ library,Copilot,2026-05-22T22:37:44Z,8,11,5,6
857,Add init_doc flag to LightOpSchema constructor and schema registration functions,Copilot,2026-05-22T22:37:17Z,6,5,2,3
864,Add file_load_mode to select mmap vs ifstream when loading a model,Copilot,2026-05-22T22:14:14Z,5,1,0,3
863,Fix Sphinx RST generation for deeply-indented bullet continuations (Loop op),Copilot,2026-05-22T22:13:22Z,2,1,0,2
859,Add LightOpSchema entries for Optional operators,Copilot,2026-05-22T21:13:58Z,3,3,1,3
862,Add schema input/output documentation parity test against onnx,Copilot,2026-05-22T21:11:40Z,2,1,0,2
860,Expose LightOpSchema and registration function to Python via new _onnxpy_op.cc,Copilot,2026-05-22T20:43:47Z,2,1,0,2
856,Add attribute parity test between onnx_light and onnx schemas,Copilot,2026-05-22T20:41:43Z,2,1,0,2
849,Add onnx_optim C++ library with non-owning OptimTensor and symbolic OptimShape,Copilot,2026-05-22T20:33:36Z,7,11,5,7
852,Fix broken test_schema_function_inlining,Copilot,2026-05-22T19:59:28Z,2,1,0,2
854,Unskip test_registered_onnx_ops_match_onnx_registered,Copilot,2026-05-22T19:56:43Z,2,1,0,2
847,bench_load_file: also load with upstream onnx for side-by-side profiling,Copilot,2026-05-22T18:38:31Z,2,1,0,2
844,Merge `num_threads` and `parallel` in SerializeOptions/ParseOptions,Copilot,2026-05-22T18:38:04Z,4,1,0,3
850,Fix StringSplit doc: escape `` `maxsplit`th `` for RST,Copilot,2026-05-22T18:27:27Z,3,3,1,3
842,Fix RST indentation in QuantizeLinear doc strings,Copilot,2026-05-22T17:56:54Z,2,1,0,2
840,Add StringConcat light op schema for text domain,Copilot,2026-05-22T16:21:01Z,2,1,0,2
839,Fix mismatched quoting of 'split' in SplitToSequence doc,Copilot,2026-05-22T16:20:48Z,2,1,0,2
836,Add light op schema for QuantizeLinear,Copilot,2026-05-22T14:55:06Z,3,3,1,3
838,Fix automated documentation generation in TreeEnsemble operators,Copilot,2026-05-22T14:54:45Z,2,1,0,2
837,Fix C++ doc parsing of OpSchema lambda default initializers,Copilot,2026-05-22T14:54:28Z,2,1,0,2
829,fix,xadupre,2026-05-22T13:49:21Z,10,3,1,1
835,Fix nested bullet list rendering in generated operator docs,Copilot,2026-05-22T13:24:20Z,3,1,0,3
832,Add line-level documentation diff to compare_schemas,Copilot,2026-05-22T12:56:45Z,3,3,1,3
807,Add LightOpSchema for AveragePool,Copilot,2026-05-22T12:55:55Z,6,7,3,2
809,"Add LightOpSchema for ImageDecoder (ai.onnx, opset 20)",Copilot,2026-05-22T09:39:05Z,5,5,2,4
834,Add --model-id option to plot_onnx_time for HF Hub ONNX models,Copilot,2026-05-22T09:38:43Z,3,1,0,3
830,Fix duplicate C++ declaration warnings in Sphinx docs build,Copilot,2026-05-22T09:19:30Z,2,1,0,2
823,Escape `|x|` pipe tokens in operator doc generator,Copilot,2026-05-22T08:45:08Z,2,1,0,2
813,Add light op schema for FlexAttention (ai.onnx.preview),Copilot,2026-05-22T08:33:29Z,3,3,1,2
817,Move onnx_light.backend.random implementation to C++ with nanobind bindings,Copilot,2026-05-22T08:33:07Z,3,1,0,3
805,Show average time alongside precision on plot_onnx_time graph,Copilot,2026-05-22T07:45:47Z,2,1,0,2
811,Add LightOpSchema for RoiAlign in new object_detection set,Copilot,2026-05-22T07:43:02Z,2,1,0,2
804,new layer of optimization,xadupre,2026-05-21T22:33:07Z,2,3,1,1
799,Add MmapFileStream to close the load/1filex1 gap with onnx-cpp,Copilot,2026-05-21T22:06:58Z,3,6,2,3
796,Extend C++ API docs for onnx_op to match source tree structure,Copilot,2026-05-21T17:04:13Z,4,3,1,3
803,Skip regenerating operator doc pages that already exist,Copilot,2026-05-21T16:57:28Z,4,3,1,4
801,Improve readability of generated ONNX operator documentation,Copilot,2026-05-21T16:55:58Z,2,1,0,2
795,minor modifications,xadupre,2026-05-21T14:26:31Z,4,5,3,1
772,Add how-to guides for aligned Python/C++ ONNX install and load/save workflows,Copilot,2026-05-21T14:10:02Z,16,16,9,16
794,Apply small-string optimization to `utils::String` and `utils::RefString`,Copilot,2026-05-21T14:09:37Z,5,3,1,5
785,Add `onnx_op/operator_sets.h` aggregator for all ONNX LightOp schema-history getters,Copilot,2026-05-21T13:23:58Z,3,3,1,3
789,Add BlackmanWindow to LightOpSchema math registry (opset 17),Copilot,2026-05-21T13:23:39Z,4,3,1,4
781,Add `--model` option and model statistics to `plot_onnx_time`,Copilot,2026-05-21T13:23:13Z,6,7,3,5
791,Add protobuf-compatible `ByteSize()` to Python proto bindings,Copilot,2026-05-21T12:58:55Z,2,1,0,2
787,Add Abs LightOpSchema history to ONNX math operator set,Copilot,2026-05-21T12:47:33Z,2,1,0,2
783,Add Sphinx copy buttons for documentation tables,Copilot,2026-05-21T12:14:21Z,4,1,0,4
779,Add controlflow LightOpSchema support for `If` with centralized docs and dedicated tests,Copilot,2026-05-21T11:25:27Z,3,3,1,3
775,fix compilation warnings,xadupre,2026-05-21T11:00:46Z,5,5,2,2
777,Add LightOpSchema coverage for ai.onnx.ml ZipMap,Copilot,2026-05-21T10:15:18Z,2,1,0,2
774,Add light sequence schemas for SequenceEmpty and SequenceLength,Copilot,2026-05-21T09:13:05Z,2,1,0,2
770,Add Constant LightOpSchema history under generator operator sets,Copilot,2026-05-20T21:44:46Z,3,1,0,3
762,Add Pow LightOpSchema history to math operator registry,Copilot,2026-05-20T21:08:28Z,3,3,1,3
766,Add traditionalml LightOpSchema support for ai.onnx.ml LabelEncoder,Copilot,2026-05-20T20:44:16Z,2,1,0,2
764,Add LightOpSchema for ReduceSum,Copilot,2026-05-20T20:42:52Z,2,1,0,2
760,Relax Documentation CI warning gate to allow known generated C++ API warnings,Copilot,2026-05-20T19:27:53Z,2,1,0,2
758,Document tensor-alignment support in ONNX vs onnx-light comparison pages,Copilot,2026-05-20T19:07:30Z,3,3,1,3
754,Add Tensor Cast LightOpSchema history and docs,Copilot,2026-05-20T18:58:06Z,3,3,1,3
756,docs: add missing `docs/api/python/expressions.rst`,Copilot,2026-05-20T18:24:33Z,2,3,1,2
752,Add Greater/Less/Equal logical LightOpSchema history and align type constraints with ONNX opsets,Copilot,2026-05-20T15:32:02Z,5,3,1,5
747,Disambiguate C++ documentation directives to fix duplicate declaration warnings,Copilot,2026-05-20T14:42:40Z,6,7,3,5
750,Move `ToTypeString(TensorType)` out of header (remove `inline`),Copilot,2026-05-20T14:23:59Z,3,1,0,2
745,Change allowed_type_strs to std::vector<TensorType>,Copilot,2026-05-20T13:49:30Z,4,5,2,4
739,Add LightOpSchema history for Sin/Cos/Sinh/Cosh in onnx_op math registry,Copilot,2026-05-20T13:48:24Z,6,5,2,6
748,Clean,xadupre,2026-05-20T13:21:07Z,3,1,0,0
735,my-refactoring,xadupre,2026-05-20T12:23:37Z,6,1,0,0
731,Add missing LightOpSchema history entries for Sin/Cos/Sinh/Cosh,Copilot,2026-05-20T09:24:49Z,5,5,2,5
725,Add logical LightOpSchema coverage for Or/Xor/Not across supported opsets,Copilot,2026-05-20T08:41:59Z,6,7,3,6
